T26,Population employed in research and development (R&D),,,,,
591,Panama,2013,R & D personnel: Researchers - women (number in full-time equivalent),74.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2013,R & D personnel: Technicians - total (number in full-time equivalent),595.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2013,R & D personnel: Technicians - women (number in full-time equivalent),298.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),433.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
591,Panama,2013,R & D personnel: Other supporting staff - women (number in full-time equivalent),166.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
598,Papua New Guinea,2016,R & D personnel: Total (number in full-time equivalent),592.5500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
598,Papua New Guinea,2016,R & D personnel: Researchers - total (number in full-time equivalent),293.5500,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
598,Papua New Guinea,2016,R & D personnel: Researchers - women (number in full-time equivalent),84.5500,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
598,Papua New Guinea,2016,R & D personnel: Technicians - total (number in full-time equivalent),89.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
598,Papua New Guinea,2016,R & D personnel: Technicians - women (number in full-time equivalent),30.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
598,Papua New Guinea,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),210.0000,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
598,Papua New Guinea,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),82.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2005,R & D personnel: Total (number in full-time equivalent),613.8000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2005,R & D personnel: Researchers - total (number in full-time equivalent),419.2000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),194.6000,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2008,R & D personnel: Total (number in full-time equivalent),667.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2008,R & D personnel: Researchers - total (number in full-time equivalent),466.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),201.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2016,R & D personnel: Total (number in full-time equivalent),1525.6935,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2016,R & D personnel: Researchers - total (number in full-time equivalent),820.8396,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2016,R & D personnel: Researchers - women (number in full-time equivalent),399.3938,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2016,R & D personnel: Technicians - total (number in full-time equivalent),525.4589,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2016,R & D personnel: Technicians - women (number in full-time equivalent),241.8384,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),179.3950,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),109.7195,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2017,R & D personnel: Researchers - total (number in full-time equivalent),928.0000,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
600,Paraguay,2017,R & D personnel: Researchers - women (number in full-time equivalent),449.7313,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
604,Peru,2004,R & D personnel: Total (number in full-time equivalent),8434.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
604,Peru,2004,R & D personnel: Researchers - total (number in full-time equivalent),4965.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
604,Peru,2004,R & D personnel: Technicians - total (number in full-time equivalent),1757.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
604,Peru,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),1712.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
