T10,Expenditure on health,,,,,
496,Mongolia,2016,Current health expenditure (% of GDP),4.4236,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2017,Current health expenditure (% of GDP),4.0023,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2000,Domestic general government health expenditure (% of total government expenditure),12.2523,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2005,Domestic general government health expenditure (% of total government expenditure),9.0401,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2010,Domestic general government health expenditure (% of total government expenditure),7.7429,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2015,Domestic general government health expenditure (% of total government expenditure),7.1083,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2016,Domestic general government health expenditure (% of total government expenditure),6.4796,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
496,Mongolia,2017,Domestic general government health expenditure (% of total government expenditure),8.1525,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2000,Current health expenditure (% of GDP),3.9781,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2005,Current health expenditure (% of GDP),4.7647,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2010,Current health expenditure (% of GDP),5.8641,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2015,Current health expenditure (% of GDP),5.0717,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2016,Current health expenditure (% of GDP),5.2381,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2017,Current health expenditure (% of GDP),5.2452,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2000,Domestic general government health expenditure (% of total government expenditure),3.9813,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2005,Domestic general government health expenditure (% of total government expenditure),3.9854,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2010,Domestic general government health expenditure (% of total government expenditure),7.5316,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2015,Domestic general government health expenditure (% of total government expenditure),6.8544,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2016,Domestic general government health expenditure (% of total government expenditure),7.2934,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
504,Morocco,2017,Domestic general government health expenditure (% of total government expenditure),7.4892,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2000,Current health expenditure (% of GDP),3.9268,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2005,Current health expenditure (% of GDP),6.4397,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2010,Current health expenditure (% of GDP),5.1222,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2015,Current health expenditure (% of GDP),5.2685,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2016,Current health expenditure (% of GDP),5.1467,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2017,Current health expenditure (% of GDP),4.9412,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2000,Domestic general government health expenditure (% of total government expenditure),13.8243,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2005,Domestic general government health expenditure (% of total government expenditure),15.8314,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2010,Domestic general government health expenditure (% of total government expenditure),2.2445,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2015,Domestic general government health expenditure (% of total government expenditure),4.6642,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2016,Domestic general government health expenditure (% of total government expenditure),4.6642,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
508,Mozambique,2017,Domestic general government health expenditure (% of total government expenditure),4.6642,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
104,Myanmar,2000,Current health expenditure (% of GDP),1.8429,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
104,Myanmar,2005,Current health expenditure (% of GDP),2.0142,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
104,Myanmar,2010,Current health expenditure (% of GDP),1.8250,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
